"respondent","condition","stimuli","accuracy","latency"
3,"Whitebad","wm1",1,1073
3,"Whitebad","bm14",1,632
3,"Whitebad","love",1,681
3,"Whitebad","bm56",1,503
3,"Whitebad","wm6",1,564
3,"Whitebad","laughter",1,1151
3,"Whitebad","wm4",1,659
3,"Whitebad","wicked",1,699
3,"Whitebad","bf56",1,536
3,"Whitebad","horrible",1,549
3,"Whitebad","wm6",0,852
3,"Whitebad","annoying",1,668
3,"Whitebad","wm1",1,651
3,"Whitebad","terrible",1,811
3,"Whitebad","bf23",1,524
3,"Whitebad","evil",0,1247
3,"Whitebad","wf2",1,984
3,"Whitebad","pleasure",1,682
3,"Whitebad","bf14",1,496
3,"Whitebad","evil",1,575
3,"Whitebad","wf3",0,752
3,"Whitebad","peace",1,468
3,"Whitebad","wf6",0,866
3,"Whitebad","joy",1,661
3,"Whitebad","bm23",0,1497
3,"Whitebad","pain",1,1241
3,"Whitebad","bf14",1,849
3,"Whitebad","wicked",1,681
3,"Whitebad","wf2",1,679
3,"Whitebad","glory",1,1390
3,"Whitebad","wf6",0,895
3,"Whitebad","annoying",0,1195
3,"Whitebad","wf3",1,703
3,"Whitebad","hate",1,1277
3,"Whitebad","bm14",1,755
3,"Whitebad","terrible",1,1463
3,"Whitebad","bf23",1,726
3,"Whitebad","horrible",1,803
4,"Whitegood","evil",1,860
4,"Whitegood","wf2",1,1059
4,"Whitegood","laughter",1,1107
4,"Whitegood","wf6",1,665
4,"Whitegood","horrible",1,616
4,"Whitegood","bm56",1,625
4,"Whitegood","annoying",0,1005
4,"Whitegood","bm23",1,819
4,"Whitegood","terrible",1,580
4,"Whitegood","wm1",1,590
4,"Whitegood","joy",1,464
4,"Whitegood","wm4",1,615
4,"Whitegood","peace",1,472
4,"Whitegood","bf23",1,551
4,"Whitegood","pain",1,459
4,"Whitegood","bm14",1,617
4,"Whitegood","wicked",1,474
4,"Whitegood","wf3",1,489
4,"Whitegood","hate",1,495
4,"Whitegood","wm6",1,557
4,"Whitegood","wm6",1,577
4,"Whitegood","wf2",1,450
4,"Whitegood","glory",1,497
4,"Whitegood","wm4",1,815
4,"Whitegood","failure",1,480
4,"Whitegood","bf56",1,446
4,"Whitegood","pleasure",1,510
4,"Whitegood","bf14",1,443
4,"Whitegood","horrible",1,508
4,"Whitegood","bf56",1,441
4,"Whitegood","failure",1,505
4,"Whitegood","bm23",1,447
4,"Whitegood","evil",1,431
4,"Whitegood","wm1",1,511
4,"Whitegood","love",1,565
4,"Whitegood","bf23",1,479
4,"Whitegood","annoying",0,857
4,"Whitegood","bm56",1,501
4,"Whitegood","good",1,675
4,"Whitegood","wf6",1,601
4,"Whitegood","joy",1,539
4,"Whitegood","bf14",1,567
4,"Whitegood","wicked",1,594
4,"Whitegood","bm14",1,436
4,"Whitegood","peace",1,660
4,"Whitegood","wf3",1,667
4,"Whitegood","pleasure",1,530
4,"Whitegood","bf14",1,558
4,"Whitegood","wf3",1,546
4,"Whitegood","love",1,495
4,"Whitegood","bf56",1,612
4,"Whitegood","glory",1,558
4,"Whitegood","wm4",1,601
4,"Whitegood","terrible",1,539
4,"Whitegood","bm23",1,503
4,"Whitegood","pain",1,573
4,"Whitegood","wm1",1,504
4,"Whitegood","good",1,629
4,"Whitebad","failure",1,843
4,"Whitebad","wf6",0,2193
4,"Whitebad","pain",1,2164
4,"Whitebad","bf56",1,768
4,"Whitebad","bf23",0,1843
4,"Whitebad","good",1,1247
4,"Whitebad","wm6",1,903
4,"Whitebad","laughter",1,1125
4,"Whitebad","bf14",1,1393
4,"Whitebad","wicked",1,2036
4,"Whitebad","bm23",1,949
4,"Whitebad","peace",1,1648
4,"Whitebad","wm1",1,1032
4,"Whitebad","terrible",0,1279
4,"Whitebad","wf3",1,2062
4,"Whitebad","love",1,1215
4,"Whitebad","wm4",1,1016
4,"Whitebad","hate",1,1513
4,"Whitebad","bm14",1,1766
4,"Whitebad","wf2",1,1161
4,"Whitebad","glory",1,565
4,"Whitebad","wm1",1,584
4,"Whitebad","horrible",0,1733
4,"Whitebad","bm56",1,1150
4,"Whitebad","evil",1,970
4,"Whitebad","bm23",0,995
4,"Whitebad","annoying",0,1159
4,"Whitebad","bf23",1,1369
4,"Whitebad","terrible",0,1434
4,"Whitebad","wf3",1,964
4,"Whitebad","pleasure",0,1710
4,"Whitebad","bf56",1,1140
4,"Whitebad","wicked",1,993
4,"Whitebad","wf2",1,930
4,"Whitebad","annoying",1,887
4,"Whitebad","wm4",1,1038
4,"Whitebad","pain",1,1118
4,"Whitebad","wf6",1,555
4,"Whitebad","horrible",0,1710
4,"Whitebad","wm6",1,1163
4,"Whitebad","joy",1,823
4,"Whitebad","bm14",1,912
4,"Whitebad","peace",1,822
4,"Whitebad","bm56",1,863
4,"Whitebad","pleasure",1,550
4,"Whitebad","wm4",1,746
4,"Whitebad","glory",1,1230
4,"Whitebad","bf14",1,1431
4,"Whitebad","evil",1,807
4,"Whitebad","bf23",1,729
4,"Whitebad","failure",0,1971
4,"Whitebad","bm23",1,1024
4,"Whitebad","bm14",1,490
4,"Whitebad","laughter",1,520
4,"Whitebad","wf6",1,821
4,"Whitebad","good",1,718
4,"Whitebad","wf2",1,891
4,"Whitebad","joy",1,1490
5,"Whitebad","failure",1,1420
5,"Whitebad","wm4",1,1141
5,"Whitebad","laughter",1,689
5,"Whitebad","bf23",1,519
5,"Whitebad","bm14",1,1021
5,"Whitebad","peace",1,726
5,"Whitebad","wf6",1,690
5,"Whitebad","evil",1,1169
5,"Whitebad","bf14",1,724
5,"Whitebad","terrible",0,1241
5,"Whitebad","wf2",1,1416
5,"Whitebad","glory",0,1634
5,"Whitebad","bm56",1,897
5,"Whitebad","good",1,751
5,"Whitebad","bf56",1,915
5,"Whitebad","wicked",0,1612
5,"Whitebad","wf3",1,984
5,"Whitebad","pleasure",1,979
5,"Whitebad","wm6",0,1527
5,"Whitebad","bm23",1,633
5,"Whitebad","joy",1,1058
5,"Whitebad","bm14",1,609
5,"Whitebad","annoying",1,803
5,"Whitebad","wm1",0,1337
5,"Whitebad","pain",1,952
5,"Whitebad","wm1",1,868
5,"Whitebad","love",1,883
5,"Whitebad","bf23",1,689
5,"Whitebad","love",1,840
5,"Whitebad","wf2",1,1312
5,"Whitebad","laughter",1,918
5,"Whitebad","bm23",1,635
5,"Whitebad","peace",1,571
5,"Whitebad","wf6",0,1157
5,"Whitebad","wm4",0,1211
5,"Whitebad","good",1,851
5,"Whitebad","bf56",1,1242
5,"Whitebad","hate",0,1611
5,"Whitebad","wf3",1,675
5,"Whitebad","joy",1,738
5,"Whitebad","wm6",0,1306
5,"Whitebad","horrible",1,875
5,"Whitebad","wm4",1,993
5,"Whitebad","wicked",1,756
5,"Whitebad","bm56",1,799
5,"Whitebad","horrible",1,737
5,"Whitebad","wm6",0,1391
5,"Whitebad","terrible",1,791
5,"Whitebad","wm1",1,865
5,"Whitebad","annoying",1,672
5,"Whitebad","bf14",1,655
5,"Whitebad","pain",1,743
5,"Whitebad","bm23",1,666
5,"Whitebad","failure",1,889
5,"Whitebad","bf23",1,711
5,"Whitebad","hate",0,1303
