id	order	test	blocknum	trialnum	correct	latency
3	1	1	6	15	1	521
3	1	1	6	16	1	764
3	1	1	6	17	1	598
3	1	1	6	18	1	607
3	1	1	6	19	1	935
3	1	1	6	20	1	506
3	1	1	6	21	1	541
3	1	1	6	22	1	539
3	1	1	6	23	1	622
3	1	1	6	24	1	720
3	1	1	6	25	1	405
3	1	1	6	26	1	645
3	1	1	6	27	0	848
3	1	1	6	28	1	585
3	1	1	6	29	1	467
3	1	1	6	30	1	394
3	1	1	6	31	0	1359
3	1	1	6	32	1	468
3	1	1	6	33	1	384
3	1	1	6	34	1	480
3	1	1	6	35	0	904
3	1	1	6	36	1	611
3	1	1	6	37	1	538
3	1	1	6	38	1	649
3	1	1	6	39	1	432
3	1	1	6	40	0	901
3	1	1	6	41	1	398
3	1	1	6	42	1	580
3	1	1	6	43	0	1259
3	1	1	6	44	1	614
3	1	1	6	45	1	516
3	1	1	6	46	1	498
3	1	1	6	47	0	783
3	1	1	6	48	1	466
3	1	2	7	1	1	540
3	1	2	7	2	0	809
3	1	2	7	3	1	483
3	1	2	7	4	1	611
3	1	2	7	5	1	429
3	1	2	7	6	1	490
3	1	2	7	7	1	451
3	1	2	7	8	0	730
3	1	2	7	9	1	475
3	1	2	7	10	1	586
3	1	2	7	11	1	426
3	1	2	7	12	1	654
3	1	2	7	13	1	423
3	1	2	7	14	1	651
3	1	2	7	15	1	588
3	1	2	7	16	0	1241
3	1	2	7	17	1	536
3	1	2	7	18	0	912
3	1	2	7	19	0	1233
3	1	2	7	20	1	584
3	1	2	7	21	1	506
3	1	2	7	22	1	569
3	1	2	7	23	0	1060
3	1	2	7	24	1	685
3	1	2	7	25	1	614
3	1	2	7	26	1	612
3	1	2	7	27	0	906
3	1	2	7	28	1	556
3	1	2	7	29	1	752
3	1	2	7	30	1	526
3	1	2	7	31	1	620
3	1	2	7	32	1	478
3	1	2	7	33	1	577
3	1	2	7	34	1	513
3	1	2	7	35	0	1191
3	1	2	7	36	0	1217
3	1	2	7	37	0	1122
